DATE,SYMBOL,CLOSE,VOLUME,VARIATION
2025-12-08,SNTS,,,
2025-12-08,UNLC,,,
2025-12-08,SGBC,,,
2025-12-08,SIVC,,,
2025-12-08,ONTBF,,,
2025-12-08,SICG,,,
2025-12-08,NTLC,,,
2025-12-08,ETIT,,,
2025-12-08,BICC,,,
2025-12-08,SLBC,,,
2025-12-08,ABJC,,,
2025-12-08,BNBC,,,
2025-12-08,BOAB,,,
2025-12-08,BOABF,,,
2025-12-08,BOAC,,,
2025-12-08,BOAG,,,
2025-12-08,BOAM,,,
2025-12-08,BOAN,,,
2025-12-08,BOAS,,,
2025-12-08,CABC,,,
2025-12-08,CBIBF,,,
2025-12-08,CFAC,,,
2025-12-08,CIEC,,,
2025-12-08,ECOC,,,
2025-12-08,FTSC,,,
2025-12-08,LIBC,,,
2025-12-08,NEIC,,,
2025-12-08,NSBC,,,
2025-12-08,NSIAC,,,
2025-12-08,NSIAS,,,
2025-12-08,ORGT,,,
2025-12-08,PALC,,,
2025-12-08,PRSC,,,
2025-12-08,PVBC,,,
2025-12-08,SAFC,,,
2025-12-08,SCRC,,,
2025-12-08,SDCC,,,
2025-12-08,SDSC,,,
2025-12-08,SEMC,,,
2025-12-08,SHEC,,,
2025-12-08,SIBC,,,
2025-12-08,SICC,,,
2025-12-08,SITC,,,
2025-12-08,SMBC,,,
2025-12-08,SOGC,,,
2025-12-08,STAC,,,
2025-12-08,STBC,,,
2025-12-08,TTLS,,,
