DATE,SYMBOL,CLOSE,VOLUME,VARIATION
2025-12-22,ECOC.BC,15000,8500,2.3
2025-12-22,BICC.BC,7990,12000,-0.5
2025-12-22,SNTS.BC,17500,5200,1.2
2025-12-22,BOAB.BC,5500,3200,0.8
2025-12-22,NTLC.BC,12000,4500,-0.3
2025-12-22,BOABF.BC,6200,2800,1.5
2025-12-22,BOAC.BC,5800,4100,-0.2
2025-12-22,BOAM.BC,4500,1900,0.5
2025-12-22,ETIT.BC,8200,3600,1.8
2025-12-22,ORGT.BC,6500,2200,-1.2
2025-12-22,SAFC.BC,7800,5100,0.9
2025-12-22,SGBC.BC,14500,7800,1.4
2025-12-22,NSIAC.BC,9200,4300,-0.7
2025-12-22,SIVC.BC,5600,2100,0.4
2025-12-22,UNXC.BC,6800,3900,1.1
2025-12-22,ABJC.BC,4200,1500,-0.3
2025-12-22,CFAC.BC,8900,6200,2.1
2025-12-22,PRSC.BC,11000,4700,0.6
2025-12-22,SDCC.BC,7200,3200,-0.8
2025-12-22,SHEC.BC,9800,5400,1.3
2025-12-22,SICOC.BC,6300,2800,0.2
2025-12-22,TTLC.BC,13200,8100,1.9
2025-12-22,CABC.BC,5900,2400,-0.4
2025-12-22,FTSC.BC,7600,3700,0.7
2025-12-22,NEIC.BC,10500,5800,1.6
2025-12-22,SABC.BC,8300,4200,-0.5
2025-12-22,SCRC.BC,6700,2900,0.8
2025-12-22,SEMC.BC,9100,4800,1.2
2025-12-22,SICC.BC,7400,3300,-0.6
2025-12-22,SMBC.BC,12800,6900,1.4
2025-12-22,SOGC.BC,8600,4100,0.3
2025-12-22,SDVB.BC,5300,2100,-0.9
2025-12-22,SVOC.BC,7900,3800,1.0
2025-12-22,PALC.BC,6100,2600,0.5
2025-12-22,PHCC.BC,8400,4500,1.7
2025-12-22,SAFM.BC,9600,5200,-0.4
2025-12-22,SIMC.BC,7100,3100,0.6
2025-12-22,SPHC.BC,10200,5600,1.5
2025-12-22,TTRC.BC,8800,4400,-0.7
2025-12-22,CIAC.BC,6400,2700,0.9
2025-12-22,SIBC.BC,9400,4900,1.3
2025-12-22,CIE.BC,11500,6300,0.8
2025-12-22,ONTBF.BC,7700,3500,-0.5
