DATE,SYMBOL,CLOSE,VOLUME,VARIATION
2025-12-09,TTLS,2560,384,0.0
2025-12-09,SICC,3390,0,0.0
2025-12-09,SICG,8100,5300,2.4
2025-12-09,SITC,7400,4800,3.5
2025-12-09,SIVC,870,1091,7.41
2025-12-09,SLBC,28200,199,0.36
2025-12-09,SMBC,9700,102,-0.77
2025-12-09,SNTS,25500,1138,0.0
2025-12-09,SOAC,105000,120,1.5
2025-12-09,SOGC,7775,556,-0.96
2025-12-09,SPHC,7700,490,-1.6
2025-12-09,STAC,1235,306,-0.8
2025-12-09,SVOC,1100,2300,0.5
2025-12-09,TPCI,3200,1500,0.7
2025-12-09,TTLC,2370,536,-0.63
2025-12-09,BICC,19600,108,-1.63
2025-12-09,TTRC,290,9800,0.8
2025-12-09,UNLB,2150,4100,-0.6
2025-12-09,UNXC,1400,7642,0.0
2025-12-09,BICB,5000,2661,-0.99
2025-12-09,BOAN,2490,2889,-0.4
2025-12-09,BOAS,5395,831,-1.55
2025-12-09,LNBB,3880,6776,4.86
2025-12-09,ORAC,15300,172,0.0
2025-12-09,SAFC,3500,1248,0.29
2025-12-09,SHEC,1540,8525,-0.65
2025-12-09,STBC,19390,694,-0.56
2025-12-09,UNLC,43290,0,0.0
2025-12-09,ABJC,2490,834,-0.4
2025-12-09,SGBC,29490,194,0.0
2025-12-09,BISC,45000,230,0.8
2025-12-09,BNBC,1500,4583,7.14
2025-12-09,BOAB,5950,1493,-0.75
2025-12-09,BOABF,4000,3629,0.13
2025-12-09,BOAC,7090,695,-0.7
2025-12-09,BOAG,5900,1600,1.4
2025-12-09,BOAM,4080,819,-0.24
2025-12-09,CABC,2190,181,0.23
2025-12-09,CBIBF,10790,69,0.0
2025-12-09,CFAC,1675,685,-1.47
2025-12-09,CIEC,2490,497,-0.4
2025-12-09,ECOC,16500,160,0.0
2025-12-09,ETIT,22,52035,0.0
2025-12-09,NEIC,945,404,0.0
2025-12-09,FTSC,2285,1567,-0.22
2025-12-09,SIBC,5740,649,-0.17
2025-12-09,SEMC,700,0,0.0
2025-12-09,SDSC,1430,2766,2.14
2025-12-09,SDCC,6100,135,0.0
2025-12-09,SCRC,995,575,-0.5
2025-12-09,SAFH,350,5200,0.5
2025-12-09,PALC,8075,385,-0.31
2025-12-09,ORGT,2600,470,1.76
2025-12-09,ONTBF,2510,154,0.4
2025-12-09,NTLC,11400,537,0.0
2025-12-09,NSBC,11985,171,0.71
2025-12-09,PRSC,3810,563,0.0
2025-12-11,SICC,3640,0,0.0
2025-12-11,SIBC,5700,0,-0.87
2025-12-11,SHEC,1550,0,-0.96
2025-12-11,SGBC,29000,0,-0.85
2025-12-11,SEMC,700,0,0.0
2025-12-11,SDSC,1480,0,2.07
2025-12-11,NEIC,945,0,1.07
2025-12-11,SDCC,6100,0,0.0
2025-12-11,SCRC,1040,0,4.0
2025-12-11,SAFC,3450,0,-0.14
2025-12-11,PRSC,3855,0,-0.26
2025-12-11,PALC,8000,0,0.0
2025-12-11,SIVC,1005,0,7.49
2025-12-11,SLBC,26125,0,-6.71
2025-12-11,SMBC,9650,0,-0.52
2025-12-11,SNTS,25000,0,-1.96
2025-12-11,SOGC,7850,0,0.06
2025-12-11,SPHC,7850,0,0.83
2025-12-11,STAC,1100,0,0.0
2025-12-11,STBC,19495,0,0.49
2025-12-11,TTLC,2390,0,0.21
2025-12-11,TTLS,2550,0,0.0
2025-12-11,UNLC,43200,0,0.0
2025-12-11,UNXC,1440,0,0.0
2025-12-11,ORAC,15150,0,-1.3
2025-12-11,ORGT,2515,0,0.6
2025-12-11,ABJC,2655,0,7.49
2025-12-11,BICB,4950,0,0.0
2025-12-11,BICC,19650,0,-1.01
2025-12-11,BNBC,1365,0,-5.21
2025-12-11,BOAB,5805,0,-0.09
2025-12-11,BOABF,4045,0,1.12
2025-12-11,BOAC,7185,0,1.2
2025-12-11,BOAM,4180,0,0.24
2025-12-11,BOAN,2480,0,-0.4
2025-12-11,BOAS,5485,0,1.57
2025-12-11,CBIBF,10650,0,0.0
2025-12-11,CABC,2200,0,0.69
2025-12-11,ONTBF,2525,0,0.0
2025-12-11,NTLC,11250,0,-1.32
2025-12-11,NSBC,11990,0,0.76
2025-12-11,LNBB,3865,0,1.05
2025-12-11,FTSC,2270,0,0.0
2025-12-11,ETIT,22,0,4.76
2025-12-11,ECOC,15800,0,1.94
2025-12-11,CIEC,2500,0,0.0
2025-12-11,CFAC,1515,0,0.66
2025-12-12,PALC,7995,0,-0.06
2025-12-12,PRSC,3850,0,-0.13
2025-12-12,SAFC,3240,0,-6.09
2025-12-12,SCRC,1000,0,-3.85
2025-12-12,SDCC,6110,0,0.16
2025-12-12,SDSC,1475,0,-0.34
2025-12-12,SEMC,700,0,0.0
2025-12-12,SGBC,28900,0,-0.34
2025-12-12,SHEC,1550,0,0.0
2025-12-12,SIBC,5700,0,0.0
2025-12-12,SICC,3600,0,-1.1
2025-12-12,SIVC,1080,0,7.46
2025-12-12,SLBC,26700,0,2.2
2025-12-12,SMBC,9500,0,-1.55
2025-12-12,SNTS,25500,0,2.0
2025-12-12,SOGC,7845,0,-0.06
2025-12-12,SPHC,7845,0,-0.06
2025-12-12,STAC,1070,0,-2.73
2025-12-12,STBC,19500,0,0.03
2025-12-12,TTLC,2395,0,0.21
2025-12-12,TTLS,2560,0,0.39
2025-12-12,UNLC,42995,0,-0.47
2025-12-12,UNXC,1430,0,-0.69
2025-12-12,CBIBF,10790,0,1.31
2025-12-12,ABJC,2850,0,7.34
2025-12-12,BICB,4995,0,0.91
2025-12-12,BICC,19800,0,0.76
2025-12-12,BNBC,1360,0,-0.37
2025-12-12,BOAB,5965,0,2.76
2025-12-12,BOABF,4015,0,-0.74
2025-12-12,BOAC,7175,0,-0.14
2025-12-12,BOAM,4245,0,1.56
2025-12-12,BOAN,2500,0,0.81
2025-12-12,BOAS,5475,0,-0.18
2025-12-12,CABC,2300,0,4.55
2025-12-12,ORGT,2570,0,2.19
2025-12-12,CFAC,1425,0,-5.94
2025-12-12,CIEC,2500,0,0.0
2025-12-12,ECOC,15210,0,-3.73
2025-12-12,ETIT,22,0,0.0
2025-12-12,FTSC,2295,0,1.1
2025-12-12,LNBB,3860,0,-0.13
2025-12-12,NEIC,945,0,0.0
2025-12-12,NSBC,11980,0,-0.08
2025-12-12,NTLC,11290,0,0.36
2025-12-12,ONTBF,2505,0,-0.79
2025-12-12,ORAC,15100,0,-0.33
