DATE,SYMBOL,CLOSE,VOLUME,VARIATION
2025-09-15,ABJC,15345,7379,1.68
2025-09-15,BICC,3362,7955,2.91
2025-09-15,BNBC,15165,8624,1.64
2025-09-15,BOAB,14408,8538,1.84
2025-09-15,BOABF,11311,4258,-0.73
2025-09-15,BOAC,18921,4929,-0.13
2025-09-15,BOAM,3617,4084,2.41
2025-09-15,BOAN,10347,7515,2.65
2025-09-15,BOAS,9447,8697,1.03
2025-09-15,BOAG,19009,7280,0.9
2025-09-15,CABC,3960,2452,-0.15
2025-09-15,CBIBF,5623,4974,-0.26
2025-09-15,CFAC,4784,9720,-1.58
2025-09-15,CIEC,3454,8001,-0.43
2025-09-15,ECOC,14474,4968,-2.26
2025-09-15,ETIT,2860,2114,-1.94
2025-09-15,FTSC,14933,2202,1.5
2025-09-15,LIBC,17870,7110,1.21
2025-09-15,NEIC,16205,7131,-2.13
2025-09-15,NSBC,14735,7858,2.38
2025-09-15,NSIAS,15726,5497,2.21
2025-09-15,NSIAC,14357,4982,-1.66
2025-09-15,NTLC,5630,6940,-0.59
2025-09-15,ONTBF,10974,4946,0.11
2025-09-15,ORGT,9388,4827,-2.4
2025-09-15,PALC,9754,2503,-1.18
2025-09-15,PRSC,10619,6952,-2.54
2025-09-15,PVBC,3505,4212,2.22
2025-09-15,SAFC,11526,3580,1.41
2025-09-15,SCRC,6174,6691,-2.16
2025-09-15,SDCC,9495,5306,1.51
2025-09-15,SDSC,4784,729,2.09
2025-09-15,SEMC,10993,1452,-1.43
2025-09-15,SGBC,17936,7810,-2.0
2025-09-15,SHEC,11870,6050,-2.28
2025-09-15,SIBC,18386,3452,1.47
2025-09-15,SICC,12860,7189,0.43
2025-09-15,SICG,7263,4490,2.06
2025-09-15,SITC,5870,4376,-1.08
2025-09-15,SLBC,14720,6649,2.3
2025-09-15,SMBC,11208,2330,-1.95
2025-09-15,SNTS,12327,4810,-2.58
2025-09-15,SOGC,12304,8721,0.24
2025-09-15,STAC,9343,5161,-1.01
2025-09-15,STBC,10023,590,1.86
2025-09-15,TTLS,5624,8922,-1.17
2025-09-15,UNLC,12598,2288,2.77
2025-09-16,ABJC,8855,9823,-0.14
2025-09-16,BICC,11927,9562,1.15
2025-09-16,BNBC,15099,2907,2.27
2025-09-16,BOAB,17630,4951,-0.73
2025-09-16,BOABF,15598,7830,1.05
2025-09-16,BOAC,4552,1009,-0.13
