DATE,SYMBOL,CLOSE,VOLUME,VARIATION
2025-11-13,ABJC,7528,7468,-1.95
2025-11-13,BICC,7008,7797,-1.07
2025-11-13,BNBC,2325,7756,-0.31
2025-11-13,BOAB,6664,2356,-0.02
2025-11-13,BOABF,3678,1861,-1.47
2025-11-13,BOAC,6727,6622,0.71
2025-11-13,BOAM,5442,8624,-0.16
2025-11-13,BOAN,6466,4297,1.94
2025-11-13,BOAS,7871,7257,-0.39
2025-11-13,BOAG,4549,3438,0.4
2025-11-13,CABC,2974,5424,-1.78
2025-11-13,CBIBF,3256,2033,-0.66
2025-11-13,CFAC,3404,1758,0.2
2025-11-13,CIEC,5929,2798,-0.5
2025-11-13,ECOC,6433,2178,1.82
2025-11-13,ETIT,6245,934,0.73
2025-11-13,FTSC,2018,4492,0.75
2025-11-13,LIBC,5913,4054,1.55
2025-11-13,NEIC,7009,1686,1.6
2025-11-13,NSBC,6970,2342,-1.52
2025-11-13,NSIAS,4591,843,-1.37
2025-11-13,NSIAC,5776,6694,-0.05
2025-11-13,NTLC,5810,2322,1.13
2025-11-13,ONTBF,3600,7055,-1.06
2025-11-13,ORGT,2483,3096,-1.46
2025-11-13,PALC,3262,2383,-0.82
2025-11-13,PRSC,1650,4516,-1.31
2025-11-13,PVBC,2642,7550,-1.25
2025-11-13,SAFC,5718,6133,-1.94
2025-11-13,SCRC,5947,5723,1.09
2025-11-13,SDCC,6110,6806,1.0
2025-11-13,SDSC,3146,5835,1.63
2025-11-13,SEMC,3588,1792,0.63
2025-11-13,SGBC,7574,2756,-0.7
2025-11-13,SHEC,5439,9164,-1.22
2025-11-13,SIBC,7081,9949,-0.25
2025-11-13,SICC,6881,5376,0.3
2025-11-13,SICG,4196,3623,-1.6
2025-11-13,SITC,7456,975,1.8
2025-11-13,SLBC,7794,6652,1.95
2025-11-13,SMBC,2658,8733,-1.66
2025-11-13,SNTS,15045,5359,0.71
2025-11-13,SOGC,3058,1045,1.01
2025-11-13,STAC,5999,5309,0.64
2025-11-13,STBC,5106,4401,0.3
2025-11-13,TTLS,7348,2145,1.53
2025-11-13,UNLC,5289,7264,-0.41
2025-11-14,ABJC,2403,1441,1.15
2025-11-14,BICC,7372,9316,1.59
2025-11-14,BNBC,4528,5346,1.95
2025-11-14,BOAB,6296,5102,0.02
2025-11-14,BOABF,2338,5747,0.7
2025-11-14,BOAC,7894,3066,-0.93
2025-11-14,BOAM,5263,9916,-1.69
2025-11-14,BOAN,7584,8841,-1.53
2025-11-14,BOAS,7974,3896,0.78
2025-11-14,BOAG,5145,9101,0.61
2025-11-14,CABC,2363,6483,-1.06
2025-11-14,CBIBF,2741,2816,1.69
2025-11-14,CFAC,5294,5176,0.33
2025-11-14,CIEC,7524,7885,1.7
2025-11-14,ECOC,6743,2717,-0.22
2025-11-14,ETIT,5934,6745,-1.28
2025-11-14,FTSC,8182,7597,-1.74
2025-11-14,LIBC,2802,7421,-1.09
2025-11-14,NEIC,7404,8115,-1.14
2025-11-14,NSBC,6422,832,0.58
2025-11-14,NSIAS,7756,8579,-1.69
2025-11-14,NSIAC,5506,639,-1.97
2025-11-14,NTLC,6051,544,-1.58
2025-11-14,ONTBF,5410,1148,0.24
2025-11-14,ORGT,3583,9747,-0.9
2025-11-14,PALC,2400,9311,1.32
2025-11-14,PRSC,7893,650,0.51
2025-11-14,PVBC,3211,3264,1.64
2025-11-14,SAFC,5805,6783,-0.36
2025-11-14,SCRC,5858,5965,1.44
2025-11-14,SDCC,1729,6013,1.32
2025-11-14,SDSC,2111,8565,-1.99
2025-11-14,SEMC,4300,1234,0.34
2025-11-14,SGBC,7972,7746,1.01
2025-11-14,SHEC,2296,1943,1.99
2025-11-14,SIBC,6986,904,0.47
2025-11-14,SICC,5925,8391,-1.16
2025-11-14,SICG,6615,4643,-1.52
2025-11-14,SITC,3488,9396,1.67
2025-11-14,SLBC,6072,8211,-1.87
2025-11-14,SMBC,4529,8093,-0.72
2025-11-14,SNTS,15291,6519,0.89
2025-11-14,SOGC,5267,6291,-0.5
