Ticker,Nom,Volume,Cours veille (FCFA),Cours Ouverture (FCFA),Cours Cl\xc3\xb4ture (FCFA),Variation_%
ABJC,SERVAIR ABIDJAN COTE D\'IVOIRE,1397.0,2895,2920,2895,-0.86
BICC,BICI COTE D\'IVOIRE,31.0,19290,19295,19290,-0.05
BNBC,BERNABE COTE D\'IVOIRE,1759.0,1365,1360,1360,-0.37
BOAB,BANK OF AFRICA BENIN,1618.0,5850,5900,5850,0.0
BOABF,BANK OF AFRICA BURKINA FASO,372.0,3940,3900,3920,-0.51
BOAC,BANK OF AFRICA COTE D\'IVOIRE,239.0,7180,7175,7160,-0.28
BOAM,BANK OF AFRICA MALI,1203.0,3990,3995,3990,0.0
BOAS,BANK OF AFRICA SENEGAL,527.0,5235,5240,5235,0.0
CABC,SICABLE COTE D\'IVOIRE,426.0,2350,2350,2355,0.21
CFAC,CFAO MOTORS COTE D\'IVOIRE,1033.0,1375,1370,1375,-1.43
CIEC,CIE COTE D\'IVOIRE,1828.0,2400,2400,2380,-0.83
ECOC,ECOBANK COTE D\'IVOIRE,157.0,16000,16150,16000,0.0
ETIT,Ecobank Transnational Incorporated TOGO,156622.0,23,23,22,-4.35
FTSC,FILTISAC COTE D\'IVOIRE,11638.0,2150,2035,2150,-2.05
NEIC,NEI-CEDA COTE D\'IVOIRE,418.0,1030,1030,1030,-7.21
NSBC,NSIA BANQUE COTE D\'IVOIRE,1056.0,11430,11400,11450,0.17
NTLC,NESTLE COTE D\'IVOIRE,720.0,10900,10995,10900,-0.86
ONTBF,ONATEL BURKINA FASO,448.0,2450,2480,2480,1.22
ORAC,ORANGE COTE D\'IVOIRE,456.0,14055,14200,14070,0.11
ORGT,ORAGROUP TOGO,3100.0,2650,2500,2645,6.44
PALC,PALM COTE D\'IVOIRE,1539.0,8000,8000,8095,1.19
PRSC,TRACTAFRIC MOTORS COTE D\'IVOIRE,435.0,3660,3860,3660,-5.43
SAFC,SAFCA COTE D\'IVOIRE,223.0,3250,3200,3250,2.36
SCRC,SUCRIVOIRE COTE D\'IVOIRE,802.0,1045,1060,1060,1.44
SDCC,SODE COTE D\'IVOIRE,231.0,5800,5800,5705,-1.64
SDSC,AFRICA GLOBAL LOGISTICS COTE D\'IVOIRE,3249.0,1480,1430,1480,-1.0
SEMC,EVIOSYS PACKAGING SIEM COTE D\'IVOIRE,25.0,805,805,805,7.33
SGBC,SOCIETE GENERALE COTE D\'IVOIRE,108.0,29005,29650,29005,-2.01
SHEC,VIVO ENERGY COTE D\'IVOIRE,1077.0,1435,1435,1430,-0.35
SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D\'IVOIRE,1298.0,5700,5740,5700,-0.7
SICC,SICOR COTE D\'IVOIRE,50.0,3300,3310,3310,0.3
SLBC,SOLIBRA COTE D\'IVOIRE,251.0,28900,26800,28900,1.4
SMBC,SMB COTE D\'IVOIRE,95.0,9495,9495,9500,0.05
SNTS,SONATEL SENEGAL,1515.0,25000,25980,24800,-4.6
SPHC,SAPH COTE D\'IVOIRE,1913.0,7750,7500,7750,0.0
STAC,SETAO COTE D\'IVOIRE,2153.0,1185,1280,1185,-7.42
STBC,SITAB COTE D\'IVOIRE,324.0,19690,19690,19685,-0.03
TTLC,TOTALENERGIES MARKETING COTE D\'IVOIRE,1774.0,2335,2335,2330,-0.21
UNLC,UNILEVER COTE D\'IVOIRE,5.0,35000,35000,35000,0.0
UNXC,UNIWAX COTE D\'IVOIRE,712.0,1395,1395,1400,-0.71
