Activités du marché,Activités du marché.1,Activités du marché.2,Activités du marché.3,Ticker,Nom,Volume,Cours veille (FCFA),Cours Ouverture (FCFA),Cours Clôture (FCFA),Variation_%,Volatilite_%,Liquidite_Moy
,,,,ABJC,SERVAIR ABIDJAN COTE D'IVOIRE,1377.0,2800.0,2920.0,2895.0,-0.86,0.0,0.0
,,,,BICC,BICI COTE D'IVOIRE,25.0,18850.0,19295.0,18850.0,-2.33,0.0,0.0
,,,,BNBC,BERNABE COTE D'IVOIRE,1166.0,1365.0,1360.0,1360.0,-0.37,0.0,0.0
,,,,BOAB,BANK OF AFRICA BENIN,1491.0,5850.0,5900.0,5850.0,0.0,0.0,0.0
,,,,BOABF,BANK OF AFRICA BURKINA FASO,364.0,3940.0,3900.0,3920.0,-0.51,0.0,0.0
,,,,BOAC,BANK OF AFRICA COTE D'IVOIRE,209.0,7180.0,7175.0,7150.0,-0.42,0.0,0.0
,,,,BOAM,BANK OF AFRICA MALI,1119.0,3990.0,3995.0,3995.0,0.13,0.0,0.0
,,,,BOAS,BANK OF AFRICA SENEGAL,368.0,5235.0,5240.0,5235.0,0.0,0.0,0.0
,,,,CABC,SICABLE COTE D'IVOIRE,426.0,2350.0,2350.0,2355.0,0.21,0.0,0.0
,,,,CFAC,CFAO MOTORS COTE D'IVOIRE,732.0,1375.0,1370.0,1375.0,-1.43,0.0,0.0
,,,,CIEC,CIE COTE D'IVOIRE,1567.0,2400.0,2400.0,2380.0,-0.83,0.0,0.0
,,,,ECOC,ECOBANK COTE D'IVOIRE,155.0,16000.0,16150.0,16000.0,0.0,0.0,0.0
,,,,ETIT,Ecobank Transnational Incorporated TOGO,82223.0,22.0,23.0,22.0,-4.35,0.0,0.0
,,,,FTSC,FILTISAC COTE D'IVOIRE,11542.0,2035.0,2035.0,2035.0,-7.29,0.0,0.0
,,,,NEIC,NEI-CEDA COTE D'IVOIRE,417.0,1030.0,1030.0,1050.0,-5.41,0.0,0.0
,,,,NSBC,NSIA BANQUE COTE D'IVOIRE,1054.0,11430.0,11400.0,11450.0,0.17,0.0,0.0
,,,,NTLC,NESTLE COTE D'IVOIRE,461.0,10995.0,10995.0,10800.0,-1.77,0.0,0.0
,,,,ONTBF,ONATEL BURKINA FASO,428.0,2450.0,2480.0,2450.0,0.0,0.0,0.0
,,,,ORAC,ORANGE COTE D'IVOIRE,436.0,14055.0,14200.0,14065.0,0.07,0.0,0.0
,,,,ORGT,ORAGROUP TOGO,2534.0,2650.0,2500.0,2645.0,6.44,0.0,0.0
,,,,PALC,PALM COTE D'IVOIRE,1292.0,8000.0,8000.0,8095.0,1.19,0.0,0.0
,,,,PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,282.0,3870.0,3860.0,3855.0,-0.39,0.0,0.0
,,,,SAFC,SAFCA COTE D'IVOIRE,203.0,3175.0,3200.0,3200.0,0.79,0.0,0.0
,,,,SCRC,SUCRIVOIRE COTE D'IVOIRE,740.0,1045.0,1060.0,1060.0,1.44,0.0,0.0
,,,,SDCC,SODE COTE D'IVOIRE,204.0,5800.0,5800.0,5770.0,-0.52,0.0,0.0
,,,,SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,3150.0,1480.0,1430.0,1480.0,-1.0,0.0,0.0
,,,,SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,25.0,805.0,805.0,805.0,7.33,0.0,0.0
,,,,SGBC,SOCIETE GENERALE COTE D'IVOIRE,108.0,29005.0,29650.0,29005.0,-2.01,0.0,0.0
,,,,SHEC,VIVO ENERGY COTE D'IVOIRE,1077.0,1435.0,1435.0,1430.0,-0.35,0.0,0.0
,,,,SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,1175.0,5700.0,5740.0,5600.0,-2.44,0.0,0.0
,,,,SICC,SICOR COTE D'IVOIRE,50.0,3300.0,3310.0,3310.0,0.3,0.0,0.0
,,,,SLBC,SOLIBRA COTE D'IVOIRE,246.0,28900.0,26800.0,28900.0,1.4,0.0,0.0
,,,,SMBC,SMB COTE D'IVOIRE,95.0,9495.0,9495.0,9500.0,0.05,0.0,0.0
,,,,SNTS,SONATEL SENEGAL,1049.0,25000.0,25980.0,25000.0,-3.83,0.0,0.0
,,,,SPHC,SAPH COTE D'IVOIRE,1898.0,7750.0,7500.0,7745.0,-0.06,0.0,0.0
,,,,STAC,SETAO COTE D'IVOIRE,1804.0,1185.0,1280.0,1190.0,-7.03,0.0,0.0
,,,,STBC,SITAB COTE D'IVOIRE,263.0,19690.0,19690.0,19685.0,-0.03,0.0,0.0
,,,,TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,1687.0,2335.0,2335.0,2325.0,-0.43,0.0,0.0
,,,,UNLC,UNILEVER COTE D'IVOIRE,5.0,35000.0,35000.0,35000.0,0.0,0.0,0.0
,,,,UNXC,UNIWAX COTE D'IVOIRE,689.0,1395.0,1395.0,1395.0,-1.06,0.0,0.0
